Id,Length,Diameters,Mass,PaperWeight
1,5.0,"[1.1, 1.0, 1.1, 1.1, 1.1, 0.8]",0.19,80
2,7.5,"[1.5, 1.5, 1.4, 1.6, 1.5, 1.4]",0.49,80
3,10.0,"[1.9, 1.8, 1.9, 2.0, 1.9, 1.8]",0.82,80
4,12.5,"[2.4, 1.9, 2.1, 2.2, 2.2, 2.0]",1.3,80
5,15.0,"[2.7, 2.4, 2.4, 2.7, 2.5, 2.2]",1.85,80
6,17.5,"[3.3, 2.9, 3.0, 3.0, 2.8, 3.2]",2.53,80
7,20.0,"[3.5, 3.4, 3.2, 3.5, 3.4, 3.3]",3.26,80
8,22.5,"[4.0, 3.6, 3.7, 3.7, 4.0, 3.7]",4.22,80
9,25.0,"[4.5, 4.1, 3.9, 3.7, 3.9, 4.2]",5.14,80
10,30.0,"[4.7, 4.3, 4.6, 4.2, 4.4, 4.4]",7.49,80
11,5.0,"[1.3, 1.2, 1.4, 1.4, 1.3, 1.2]",0.36,150
12,7.5,"[1.7, 1.4, 1.3, 1.8, 1.7, 1.7]",0.85,150
13,10.0,"[2.5, 2.3, 2.3, 2.4, 2.1, 2.0]",1.51,150
14,12.5,"[2.9, 2.5, 2.1, 3.1, 2.7, 2.1]",2.81,150
15,15.0,"[3.1, 3.0, 3.0, 3.2, 2.6, 2.7]",3.46,150
16,5.0,"[1.6, 1.4, 1.7, 1.6, 1.5, 1.4]",0.64,240
17,7.5,"[2.2, 1.8, 2.3, 2.5, 2.1, 2.1]",1.34,240
18,10.0,"[3.3, 2.8, 2.9, 3.0, 3.2, 2.4]",2.44,240
19,12.5,"[3.5, 3.4, 3.3, 3.2, 3.2, 3.0]",3.76,240
20,15.0,"[4.0, 4.1, 3.9, 4.1, 3.7, 3.6]",5.51,240
